Timestamp,Series 2
2026-04-17T08:58:39.000Z,29.6
2026-04-17T08:58:43.000Z,29.6
2026-04-17T08:58:49.000Z,29.6
2026-04-17T08:58:54.000Z,29.6
2026-04-17T08:58:59.000Z,29.6
2026-04-17T08:59:04.000Z,29.6
2026-04-17T08:59:09.000Z,29.6
2026-04-17T08:59:14.000Z,29.6
2026-04-17T08:59:20.000Z,29.6
2026-04-17T08:59:24.000Z,29.6
2026-04-17T08:59:28.000Z,29.6
2026-04-17T08:59:34.000Z,29.6
2026-04-17T08:59:39.000Z,29.6
2026-04-17T08:59:43.000Z,29.6
2026-04-17T08:59:48.000Z,29.7
2026-04-17T08:59:54.000Z,29.7
2026-04-17T08:59:59.000Z,29.7
2026-04-17T09:00:04.000Z,29.7
2026-04-17T09:00:08.000Z,29.7
2026-04-17T09:00:13.000Z,29.7
2026-04-17T09:00:19.000Z,29.7
2026-04-17T09:00:24.000Z,29.7
2026-04-17T09:00:28.000Z,29.7
2026-04-17T09:00:34.000Z,29.7
2026-04-17T09:00:39.000Z,29.7
2026-04-17T09:00:43.000Z,29.7
2026-04-17T09:00:49.000Z,29.7
2026-04-17T09:00:53.000Z,29.7
2026-04-17T09:00:59.000Z,29.7
2026-04-17T09:01:04.000Z,29.7
2026-04-17T09:01:09.000Z,29.7
2026-04-17T09:01:14.000Z,29.7
2026-04-17T09:01:18.000Z,29.7
2026-04-17T09:01:24.000Z,29.7
2026-04-17T09:01:29.000Z,29.7
2026-04-17T09:01:33.000Z,29.6
2026-04-17T09:01:39.000Z,29.7
2026-04-17T09:01:44.000Z,29.6
2026-04-17T09:01:49.000Z,29.7
2026-04-17T09:01:54.000Z,29.8
2026-04-17T09:01:59.000Z,29.9
2026-04-17T09:02:03.000Z,30.1
2026-04-17T09:02:09.000Z,30.4
2026-04-17T09:02:13.000Z,30.7
2026-04-17T09:02:19.000Z,31
2026-04-17T09:02:24.000Z,31.4
2026-04-17T09:02:28.000Z,31.8
2026-04-17T09:02:34.000Z,32.1
2026-04-17T09:02:38.000Z,32.5
2026-04-17T09:02:44.000Z,32.9
2026-04-17T09:02:48.000Z,33.1
2026-04-17T09:02:54.000Z,33.5
2026-04-17T09:02:58.000Z,33.8
2026-04-17T09:03:04.000Z,34.1
2026-04-17T09:03:08.000Z,34.3
2026-04-17T09:03:13.000Z,34.6
2026-04-17T09:03:19.000Z,34.8
2026-04-17T09:03:24.000Z,35
2026-04-17T09:03:29.000Z,35.2
2026-04-17T09:03:34.000Z,35.4
2026-04-17T09:03:41.000Z,35.6
2026-04-17T09:03:43.000Z,35.7
2026-04-17T09:03:48.000Z,35.8
2026-04-17T09:03:53.000Z,35.9
2026-04-17T09:03:59.000Z,35.8
2026-04-17T09:04:03.000Z,35.7
2026-04-17T09:04:08.000Z,35.6
2026-04-17T09:04:14.000Z,35.5
2026-04-17T09:04:19.000Z,35.3
2026-04-17T09:04:24.000Z,35.1
2026-04-17T09:04:28.000Z,34.8
2026-04-17T09:04:34.000Z,34.6
2026-04-17T09:04:39.000Z,34.4
2026-04-17T09:04:44.000Z,34.2
2026-04-17T09:04:48.000Z,34
2026-04-17T09:04:54.000Z,33.9
2026-04-17T09:04:59.000Z,33.7
2026-04-17T09:05:04.000Z,33.5
2026-04-17T09:05:09.000Z,33.3
2026-04-17T09:05:14.000Z,33.2
2026-04-17T09:05:19.000Z,33
2026-04-17T09:05:24.000Z,32.9
2026-04-17T09:05:29.000Z,32.7
